Sr No.,Title,QTY,Variant Price
#1,5 Pack Family Soap ( Pack of 5 sell in 12 ),1.00,39
#2,5 Pack Family Soap ( Box ),1.00,78
#3,Diaper 24 Pack - S - Pack of 3,1.00,44.4
#4,Diaper 24 Pack - S - Baie of 6,1.00,88.8
#5,Diaper 24 Pack - M - Pack of 3,1.00,44.4
#6,Diaper 24 Pack - M - Baie of 6,1.00,88.8
#7,Diaper 24 Pack - L - Pack of 3,1.00,44.4
#8,Diaper 24 Pack - L - Baie of 6,1.00,88.8
#9,Diaper 24 Pack - XL - Pack of 3,1.00,44.4
#10,Diaper 24 Pack - XL - Baie of 6,1.00,88.8
#11,Wow Mosquito Coil (Box) ,1.00,65
#12,Wow Mosquito Coil (Pack of 12),1.00,14.4
#13,Zebra Matches (Pack of 100),1.00,7.5
#14,Cake Break Donut Cake 24 pcs,1.00,22
#15,Porleo Donut Cake 24 pcs,1.00,22
#16,Cake Break Bar Kek 24 pcs,1.00,22
#17,Porleo Chocolate Cake 24 pcs,1.00,22
#18,WOW Toilet Paper (Pack of 12),1.00,22
#19,Tautai Tomato 8 Pack,1.00,22.5
#20,Tautai Oil 8 Pack,1.00,23.5
#21,Rice Crackers 60g Pack of 10s,1.00,22
#22,ABC Powder 9 KG ( Pack of 6 - BrIlliant White ),1.00,49
#23,ABC Powder 9 KG ( Pack of 6 - Bright Color ),1.00,49
#24,ABC Powder 3 KG (Pack of 6 - BrIlliant White),1.00,18
#25,ABC Powder 3 KG (Pack of 6 - Whites & Color),1.00,18
#26,ABC Powder 3 KG (Pack of 6 - Bright Color),1.00,18
#27,Baby Diaper Pack of 6 - Small,1.00,88.8
#28,Baby Diaper Pack of 6 - Medium,1.00,88.8
#29,Baby Diaper Pack of 6 - Large,1.00,88.8
#30,Baby Diaper Pack of 6 - Extra Large,1.00,88.8
#31,Liquid Food Colouring 150g (Pack of 6),1.00,69
#32,Baking Powder 2KG (Pack of 8),1.00,30
#33,Bread Improver (10 KG) (Pack of 20),1.00,102
#34,Cake Mix (10 KG) - Chocolate,1.00,110
#35,Cake Mix (10 KG) - Chocolate Sponge,1.00,115
#36,Cake Mix (10 KG) - Vanilla,1.00,110
#37,Cake Mix (10 KG) - Vanilla Sponge,1.00,105
#38,Topping Sauces (Pack of 6),1.00,17
#39,Whipped Cream Powder (1KG),1.00,30
#40,White Papaya (Pau Esi) 5pkts,1.00,42.5
#41,Black Plum 5pkts,1.00,44
#42,Red Mango (Pau Mango),1.00,40
#43,Red Plum (Lolly Saiga) 5pkts,1.00,32.5
#44,Red Peach (Monkey Ball) 5pkts,1.00,32.5
#45,ABC Powder 1.5 KG (Pack of 12 - Brilliant White),1.00,9
#46,ABC Powder 1.5 KG (Pack of 12 - Whites & Color),1.00,9
#47,ABC Powder 1.5 KG (Pack of 12 - Automat Lavender Freshness),1.00,9
#48,Schick Extreme 3  4pcs (Pack of 5),1.00,20
#49,Longkou Vermicelli ( Pack of 10 ),1.00,20
#50,Longkou Vermicelli ( Bag of 50 ),1.00,95
#51,Tautai Tomato 8 Pack,1.00,15
#52,Tautai Oil 8 Pack,1.00,15
#53,Bebeto Gumball 25g (Pack of 3),1.00,30
#54,Bebeto Super Long Gum (Pack of 24),1.00,45
#55,Bebeto Moji Lollipop with Stand (120 Pc),1.00,52
#56,Bebeto Sour Blast (150 Pc),1.00,30
#57,Bebeto Cobra (2KG),1.00,33
#58,Bebeto Tongue (1KG) (Pack of 2),1.00,28
#59,Panpan 35g - Original - Box of 50,1.00,58
#60,Panpan 35g - Original - Pack of 25,1.00,31
